# Column 1 = Input data size
# Column 2 = Avg time for HashTableCollection add function
# Column 3 = Avg time for AVLCollection add function
# Column 4 = Avg time for RBTCollection add function
# All times are measured in milliseconds
0 0.0003 0.0003 0.0000
10000 0.0000 0.0000 0.0007
20000 0.0000 0.0010 0.0013
30000 0.0000 0.0000 0.0013
40000 0.0000 0.0003 0.0017
50000 0.0000 0.0003 0.0017
60000 0.0000 0.0007 0.0017
70000 0.0000 0.0007 0.0020
80000 0.0000 0.0010 0.0020
90000 0.0000 0.0010 0.0023
100000 0.0000 0.0007 0.0020
110000 0.0000 0.0007 0.0020
120000 0.0000 0.0007 0.0023
130000 0.0000 0.0007 0.0037
140000 0.0000 0.0010 0.0023
150000 0.0000 0.0010 0.0023
160000 0.0000 0.0010 0.0020
170000 0.0000 0.0010 0.0023
180000 0.0000 0.0010 0.0020
190000 0.0000 0.0013 0.0020
200000 0.0000 0.0010 0.0033
210000 0.0000 0.0010 0.0033
220000 0.0000 0.0010 0.0023
230000 0.0000 0.0007 0.0120
240000 0.0000 0.0010 0.0020
250000 0.0000 0.0010 0.0023
260000 0.0000 0.0010 0.0023
270000 0.0000 0.0010 0.0043
280000 0.0000 0.0010 0.0023
290000 0.0000 0.0010 0.0020
300000 0.0000 0.0010 0.0020
