# Column 1 = Input data size
# Column 2 = Avg time for HashTableCollection find-range function
# Column 3 = Avg time for AVLCollection find-range function
# Column 4 = Avg time for RBTCollection find-range function
# All times are measured in microseconds
0 0.0003 0.0000 0.0000
10000 4.7427 4.7837 4.8297
20000 9.5813 9.2893 9.1543
30000 15.0360 14.1467 14.2360
40000 22.6040 21.4470 22.2487
50000 24.6147 25.6070 24.0513
60000 29.9720 29.6760 29.2680
70000 35.3110 35.3120 37.5267
80000 46.6597 50.1037 57.3760
90000 47.6080 50.5200 50.7113
100000 55.6510 55.6603 54.7793
110000 58.0083 67.4370 59.4050
120000 67.0660 96.4620 62.6973
130000 73.5503 67.2077 70.9280
140000 86.9257 75.4467 76.2390
150000 80.4197 88.7753 80.6267
160000 86.1563 93.7133 93.8593
170000 94.0180 101.2307 118.3167
180000 108.4600 99.2570 97.9717
190000 125.8180 110.0483 108.5840
200000 197.4043 133.7423 140.2143
210000 119.3637 114.5767 117.1907
220000 125.9760 131.7037 141.3810
230000 135.6167 154.8017 124.4957
240000 132.2900 129.7677 134.2160
250000 135.5247 142.3773 160.3010
260000 149.1130 149.2450 142.7300
270000 157.5833 149.3433 146.6063
280000 172.7617 156.8683 155.1250
290000 161.6300 157.7790 160.1787
300000 185.2177 165.8297 162.4383
